batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
0,-0.5,0.07,1.09,-4.88,0.81,0.0007,0.0006,1461.71,PS,1,1,0.0,1
1,-0.703,0.106,1.03,-6.998,1.113,0.001,0.001,1465.886,trust-constr,1,1,1.26,1
1,-0.6,0.17,0.99,-4.78,0.71,0.0,0.002,-5873135.86,SLSQP,1,1,0.0,1
