batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
0,-0.43,0.06,1.41,-2.82,0.41,0.0006,0.0008,1481.87,PS,1,1,0.0,1
1,-0.469,0.06,1.225,-2.967,0.747,0.001,0.002,1416.39,trust-constr,1,1,1.22,1
1,-0.53,0.16,1.31,-2.72,0.31,0.0,0.002,-895297995.384,SLSQP,1,1,0.0,1
