batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
0,-1.78,0.25,2.2,-1.86,0.15,0.0024,0.0023,1161.84,PS,1,1,0.0,1
1,-1.879,0.272,2.171,-2.07,0.047,0.05,0.002,950.742,trust-constr,1,1,1.85,1
1,-1.88,0.35,2.1,-1.76,0.05,0.001,0.003,-38541.493,SLSQP,1,1,0.0,1
