batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
0,4.5,-1.16,0.34,-5.54,1.32,0.0055,0.0051,978.67,PS,1,1,0.0,1
1,2.978,-0.768,0.417,-5.107,1.301,0.007,0.005,992.343,trust-constr,1,1,1.41,1
1,3.178,-0.857,0.411,-5.51,1.381,0.007,0.005,983.671,SLSQP,1,1,0.3,1
