batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
0,-0.47,0.06,1.65,-2.82,0.45,0.0012,0.001,1332.3,PS,1,1,0.0,1
1,-0.708,0.064,1.654,-2.808,0.456,0.001,0.001,1308.857,trust-constr,1,1,1.07,1
1,-0.57,0.16,1.55,-2.72,0.35,0.0,0.002,-555723.162,SLSQP,1,1,0.0,1
