country,CDS_mean_abs_diff
Brazil,0.0003214272057338969
Bulgaria,2.1819463205751913e-08
Chile,2.143891220140345e-08
China,2.0260457099022795e-08
Colombia,2.1419719449783414e-08
Croatia,2.103404732728697e-08
Korea,2.1769790180912627e-08
Malaysia,2.025609399908789e-08
Mexico,2.0824126676765265e-08
Philippines,2.1774577742001e-08
Poland,2.1778126344687828e-08
Russia,2.198597564897728e-08
SAfrica,2.0756929149970382e-08
Thailand,2.1330590130913603e-08
Turkey,2.1167498024642048e-08
