batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
0,-0.72,0.13,1.1,-1.07,0.18,0.0008,0.0008,1450.38,PS,1,1,0.0,1
1,-1.151,0.187,1.348,-1.093,0.158,0.001,0.001,1438.431,trust-constr,1,1,1.12,1
1,0.306,-0.115,0.887,-2.204,0.413,0.002,0.002,1362.343,SLSQP,1,1,0.03,1
2,0.956,-0.267,0.631,-0.471,0.041,0.003,0.002,1284.446,trust-constr,0,1,1.04,1
2,-0.82,0.03,1.2,-0.97,0.08,0.001,0.001,323.448,SLSQP,0,1,0.0,1
3,-6.999,-1.067,0.115,-6.877,4.827,0.007,0.05,695.866,trust-constr,1,0,1.43,1
3,-0.418,0.06,1.033,-3.513,0.58,0.001,0.001,956.848,SLSQP,1,0,0.03,1
4,-7.0,-0.555,0.081,-0.007,0.005,0.009,0.019,733.984,trust-constr,0,0,0.48,1
4,-0.224,0.046,0.879,-2.686,0.444,0.001,0.001,962.814,SLSQP,0,0,0.05,1
