batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
0,0.17,-0.03,1.05,-1.45,0.31,0.0054,0.0037,1023.43,PS,1,1,0.0,1
1,0.141,0.002,0.792,-1.451,0.186,0.005,0.021,919.179,trust-constr,1,1,0.28,1
1,0.651,-0.154,0.756,-4.103,0.961,0.006,0.004,1016.11,SLSQP,1,1,0.23,1
2,-0.094,0.069,1.028,-1.326,0.321,0.006,0.004,1030.573,trust-constr,0,1,0.91,1
2,-0.006,0.05,0.826,-2.571,0.542,0.006,0.004,1031.104,SLSQP,0,1,0.49,1
3,6.778,-1.816,0.047,-6.629,1.768,0.009,0.012,803.781,trust-constr,1,0,0.92,1
3,6.567,-1.798,0.048,-5.66,1.541,0.01,0.012,796.264,SLSQP,1,0,0.1,1
4,0.385,-0.078,0.791,-4.635,1.062,0.006,0.004,690.438,trust-constr,0,0,0.46,1
4,0.385,-0.078,0.791,-4.636,1.062,0.006,0.004,690.438,SLSQP,0,0,0.04,1
