batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
0,-1.15,0.18,1.58,-1.97,0.34,0.0017,0.0013,1290.36,PS,1,1,0.0,1
1,-1.193,0.189,1.503,-1.811,0.374,0.05,0.001,1045.346,trust-constr,1,1,1.06,1
1,-0.708,0.101,1.229,-2.624,0.492,0.002,0.001,1265.8,SLSQP,1,1,0.15,1
2,-0.89,0.132,1.669,-1.856,0.239,0.05,0.05,774.042,trust-constr,0,1,1.02,1
2,-1.25,0.08,1.68,-1.87,0.24,0.002,0.001,-198.918,SLSQP,0,1,0.0,1
3,-6.986,-1.099,0.115,-6.96,4.882,0.05,0.029,579.254,trust-constr,1,0,0.48,1
3,-1.018,0.151,1.456,-2.036,0.359,0.002,0.001,819.958,SLSQP,1,0,0.03,1
4,-6.998,-0.054,0.053,-6.979,4.896,0.015,0.036,692.463,trust-constr,0,0,0.65,1
4,-0.452,0.099,1.064,-1.085,0.203,0.002,0.001,830.853,SLSQP,0,0,0.07,1
