,batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
3,2,0.405,-0.084,0.805,-4.654,1.057,0.006,0.004,726.1439999999999,trust-constr,0,0,0.45,1
4,2,0.405,-0.084,0.805,-4.655,1.057,0.006,0.004,726.1439999999999,SLSQP,0,0,0.03,1
