,batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
3,2,-0.976,0.191,1.5630000000000002,-1.494,0.26,0.004,0.003,1204.771,trust-constr,0,0,1.26,1
4,2,0.057999999999999996,-0.036000000000000004,0.993,-1.8869999999999998,0.386,0.003,0.002,1406.41,SLSQP,0,0,0.1,1
