,batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
3,2,-0.98,0.18,1.56,-1.5,0.26,0.005,0.002,2020.795,trust-constr,0,0,2.91,0
4,2,0.2,-0.068,1.514,-1.8940000000000001,0.284,0.005,0.003,2094.633,SLSQP,0,0,0.02,1
