,batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
3,2,-0.273,0.083,0.991,-3.365,0.642,0.002,0.002,1625.8129999999999,trust-constr,0,0,0.93,1
4,2,-0.273,0.083,0.991,-3.364,0.642,0.002,0.002,1625.8129999999999,SLSQP,0,0,0.09,1
