,batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
3,2,-6.997999999999999,-0.5329999999999999,0.079,-6.975,4.893,0.009000000000000001,0.023,1325.6429999999998,trust-constr,0,0,1.18,1
4,2,0.41,-0.146,1.069,-1.6740000000000002,0.433,0.004,0.001,1510.001,SLSQP,0,0,0.03,1
