,batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
3,2,-0.899,-1.284,0.316,-0.024,0.002,0.05,0.05,421.12699999999995,trust-constr,0,0,0.4,1
4,2,-0.366,-0.004,1.7930000000000001,-1.6640000000000001,0.255,0.005,0.002,774.409,SLSQP,0,0,0.01,1
