,batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
3,2,-0.98,0.18,1.56,-1.5,0.26,0.006,0.006,1234.915,trust-constr,0,0,2.91,0
4,2,-0.6990000000000001,0.18,1.042,-2.7460000000000004,0.557,0.003,0.005,1348.787,SLSQP,0,0,0.08,1
