,batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
3,2,-0.9790000000000001,0.18100000000000002,1.56,-1.5,0.26,0.002,0.002,1223.517,trust-constr,0,0,1.5,1
4,2,-0.433,0.10099999999999999,1.084,-1.672,0.302,0.002,0.001,1328.749,SLSQP,0,0,0.08,1
