,batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
3,2,-0.98,0.18,1.56,-1.5,0.26,0.006,0.003,855.7410000000001,trust-constr,0,0,2.91,0
4,2,-0.091,-0.038,1.052,-2.891,0.449,0.003,0.002,1001.868,SLSQP,0,0,0.03,1
