,batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
3,2,0.049,0.004,1.008,-4.137,0.9079999999999999,0.004,0.002,1493.606,trust-constr,0,0,0.76,1
4,2,0.049,0.004,1.008,-4.137,0.9079999999999999,0.004,0.002,1493.606,SLSQP,0,0,0.06,1
