,batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
3,2,-0.98,0.18,1.56,-1.5,0.26,0.006,0.003,1946.725,trust-constr,0,0,2.91,0
4,2,-0.98,0.18,1.56,-1.5,0.26,0.006,0.003,1946.54,SLSQP,0,0,0.0,1
