,batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
3,2,0.494,-0.125,0.6890000000000001,-2.006,0.45299999999999996,0.026000000000000002,0.009000000000000001,1370.326,trust-constr,0,0,1.31,1
4,2,-0.98,0.18,1.56,-1.5,0.26,0.006,0.003,-25822.696,SLSQP,0,0,0.0,1
