,batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
3,2,-0.98,0.18,1.56,-1.5,0.26,0.006,0.003,776.53,trust-constr,0,0,2.91,0
4,2,-0.627,0.154,0.8809999999999999,-3.7969999999999997,0.65,0.002,0.001,952.5239999999999,SLSQP,0,0,0.03,1
