,batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
3,2,0.634,-0.149,1.0390000000000001,-6.966,1.3530000000000002,0.003,0.002,1996.4170000000001,trust-constr,0,0,1.99,1
4,2,0.635,-0.149,1.0390000000000001,-7.0,1.359,0.003,0.002,1996.435,SLSQP,0,0,0.13,1
