XLAM,CDS1Y,CDS1X,CDS1XP,CDS3,CDS3X,CDS3XP,CDS5,CDS5X,CDS5XP
0.07054617994320592,0.08483330000000001,0.1212946983820341,0.029435548790517175,0.15116670000000001,0.15116670000000001,0.02119978510774416,0.15508329999999998,0.15838882073228028,0.2831780413966196
0.04495679306400542,0.06883330000000001,0.0826492438911563,0.0213250654979904,0.1270833,0.1270833,0.01471011170806745,0.1383333,0.1405008356730627,0.032046606701156624
0.02606850078086642,0.0475,0.04184397660184289,0.014555721631682466,0.08408330000000001,0.0840833,0.011177852642758867,0.0976667,0.10184353221512864,0.01103487424203711
0.025601728073626158,0.036,0.04075477066087837,0.0143746233813793,0.0825,0.0825,0.011083813619312403,0.0945,0.10022317631869125,0.010872442595059623
0.023209060864304857,0.033666699999999994,0.035196560671430996,0.013430379844728448,0.074,0.07399999999999998,0.01058464305131216,0.0885833,0.09165655017032306,0.010128361822578402
0.02281915747209106,0.028833299999999996,0.03429453338475012,0.01327426367337424,0.0725,0.0725,0.01050413848605402,0.08666669999999999,0.09000580951384088,0.010021766453701423
0.021001297536081223,0.025654900000000005,0.030122351395364642,0.012536471411146988,0.0651131,0.0651131,0.010126563015918803,0.07708480000000001,0.08185191324110506,0.00956639014633567
0.020651209531822264,0.0219923,0.029326517412209173,0.012392573033171534,0.06362580000000001,0.06362580000000001,0.010053054503831193,0.0765005,0.08021241879251995,0.009485695202860592
0.01706892723728664,0.0144938,0.02147080619147404,0.010874231391868983,0.0481943,0.0481943,0.00922704867636199,0.0634707,0.06277226424576035,0.008684618248781702
0.01437704133788985,0.0087451,0.016012470402477975,0.009675006624455,0.035704400000000004,0.035704400000000004,0.008570082177907367,0.0505815,0.04760611284605846,0.00814400261088486
0.012951855259229261,0.010828200000000001,0.013351451069985669,0.009013824126664105,0.0291097,0.0291097,0.008199113609283666,0.0403919,0.03926940083967214,0.007858494005689255
0.015082742259813785,0.0188261,0.01739577157947162,0.00999498296530146,0.0389725,0.0389725,0.008748415832459932,0.0492894,0.051643069605635236,0.008286078128990987
0.01718787412195391,0.0209924,0.02171934527035256,0.010926329981482266,0.04863680000000001,0.04863680000000001,0.009260566662959931,0.0601193,0.06325227651033424,0.008715799303906212
0.016592155135677987,0.0184947,0.020469124493191153,0.01066602189127942,0.045979400000000004,0.045979400000000004,0.009115676255538593,0.057342399999999995,0.060135439002069226,0.008588992358746354
0.020282513781248675,0.030833299999999998,0.028499386395019977,0.012239427136362124,0.0622351,0.0622351,0.009963226038591379,0.0742284,0.07884250341357624,0.009387717361489557
0.02217336146310472,0.0367395,0.03278893312509936,0.013016131447209164,0.0696357,0.0696357,0.01039139654540536,0.0805419,0.08672912389647959,0.00987075509203107
0.019633388196254105,0.025487700000000002,0.027026025674821184,0.011971385814629667,0.0592097,0.0592097,0.009836516902437266,0.07069410000000001,0.07528242247230242,0.009258795450379902
0.01744931580734054,0.0164167,0.022256564849600473,0.011042100247284171,0.04964469999999999,0.04964469999999999,0.009332889946704885,0.06108330000000001,0.06437675088167315,0.008781833637110052
0.01473074689796405,0.008875,0.016692639557595687,0.009837059294704171,0.037225,0.037225,0.008666096355197758,0.0486,0.04948118585427559,0.00822194937838128
0.01391184993586379,0.009375,0.01511972576991637,0.009462021112041892,0.0335,0.0335,0.008453047899981312,0.0443125,0.04489191373648602,0.008052033355432774
0.013685802591139993,0.0088,0.014693525575004206,0.009357641567067553,0.0324375,0.0324375,0.008395216893381317,0.0436,0.04357102490254235,0.008006948425027704
0.012126987300621651,0.007875,0.011890477600417271,0.008622279078242232,0.02538,0.02538,0.00797599667796623,0.03636,0.03447653121075326,0.007690094158837443
0.010854266967742696,0.0072167,0.009778602020215703,0.008001672626855225,0.0198167,0.0198167,0.007618169347034949,0.03045,0.027054198067559994,0.007428201022280994
0.011909373044499124,0.008,0.01151421344921334,0.008517920020623557,0.0243667,0.024366700000000005,0.007917902880750324,0.0362333,0.03314841577530516,0.007647554039882692
0.011148081337413693,0.0061667,0.010249819949767557,0.00814681755171429,0.02105,0.02105,0.007703288798776169,0.0318875,0.028738950343678828,0.007489889294144108
0.013622055682801176,0.0096125,0.01456704143926144,0.009329021955257335,0.03203,0.03203,0.008384247907529941,0.04347,0.043030485851431405,0.008000885919073652
0.013103258432785559,0.0087167,0.013611586861426533,0.009086801415319298,0.029633299999999998,0.0296333,0.00824785073276713,0.0415667,0.03996556687731587,0.007897210711711223
0.011484572932330295,0.0061667,0.010798956797421096,0.008311950452916272,0.022465799999999998,0.022465799999999998,0.007800440904005529,0.0336783,0.030638030371967658,0.0075613826245935715
0.011299284554709209,0.0065,0.010493519293941756,0.008221361188177324,0.0216762,0.0216762,0.0077474138159386585,0.0329137,0.029596384214128503,0.0075220182703646474
0.011355310209364932,0.0067667000000000005,0.010583771361649792,0.008248991686084312,0.0219153,0.0219153,0.007763510235809339,0.0328778,0.029925470443828255,0.007533586688439393
0.011585336866427005,0.006875,0.010964913556187283,0.00836121084748732,0.022877599999999998,0.022877599999999998,0.00783000181556701,0.0342406,0.031172493168283657,0.007583961637616491
0.009712955536569501,0.0049875,0.008036400728318327,0.007426709952031176,0.0151843,0.0151843,0.0072793680105923235,0.0246643,0.02073658621820812,0.007182861484083841
0.010455744387261351,0.0056333,0.009150058114707187,0.007803250310749148,0.018107299999999996,0.018107299999999996,0.007503458494669863,0.0280376,0.024753271655183092,0.007345211006760349
0.009819073237383756,0.00432,0.008191790472166395,0.007480838227171485,0.0155643,0.0155643,0.007312324470214918,0.025428599999999996,0.021234298528159175,0.0072074546417226215
