20.85	4.489	6	4	21.82	4.751	9	5.868	14.533	30.939	2.877	24.25	6.825	14.898	32.901
24.5	4.931	6.15	5	23.417	4.002	9.5	6.901	15.4	33.551	3.126	26.04	9.246	15.472	34.167
40.671	9.134	9.675	11	51	7.251	15.254	18.071	23.083	72.228	4.002	38.983	19.486	24.231	53.602
46	8.833	11.047	13	55.667	8.335	20.333	20.5	22.333	75	5.668	57.167	14.333	25.5	63.002
35.833	9.531	7.809	15.667	47.667	9.836	14.023	12.584	20.736	56.985	5.001	54.02	13.558	20.083	58.827
39	11	9.092	18.333	43.693	11.001	21.655	14.157	18.275	55.32	5.669	50.007	14	20.375	46.63
52.162	27	16.274	31.5	64.2	24.335	50.563	38.605	25.675	132.103	9.835	67.508	30.125	49.864	68.475
46.208	42.39	17.264	24.25	60.718	30.253	45.654	34.25	26.406	90	11.252	60.632	35.771	43.755	54.592
51.319	38.596	33.008	35.025	73.1	33.504	49.917	52.832	35.875	98.935	12.753	70.939	53.959	38.883	70.736
47.123	52.55	20.154	45.082	76.625	36.835	70.697	60.919	31.75	170.518	19.503	75.751	71.977	71.945	94.057
59.167	54.19	25.834	57.564	97	36.501	56.899	50.114	31.292	95.66	30.002	72.835	74.14	46.328	132.849
35.167	32.693	17.644	26.593	63.075	22.836	34.007	28.348	21.8	82.282	11.503	54.312	40.52	38.959	80.639
28.151	59.747	15.68	21	44.137	16.503	42.19	50.492	26.175	98.504	8.753	42.599	59.329	33.337	80.23
35.269	69.878	18.071	44.646	61.188	27.168	47.056	65.097	31.386	116.04	13.002	56.657	69.347	46.723	102.549
40.302	55.426	19.241	25.678	62	22.835	40.589	46.642	30.125	97.512	18.002	52.418	53.333	35.962	76.693
43.005	71.237	19.472	32.142	64.114	30.001	53.325	62.731	32.962	100.768	28.002	76.081	58.53	59.893	85.189
97.088	79.01	43.962	39.812	104.411	59.501	119.09	71.472	59.675	131.692	30.359	232.1	82.258	84.545	101.502
287.133	353.302	117.552	107.104	262.096	234.501	373.262	174.962	256.528	500	144.169	609.409	285.237	174.071	461.619
259.572	446.009	164.478	143.996	273.775	363.001	361.421	218.74	259.28	385.346	160.252	1011.665	369.117	228.738	435.007
227.102	505.932	114.667	152.503	238.059	464.503	324.826	166.518	227.62	401.667	193.42	1101.82	360.569	223.346	421.003
225.725	485.108	174.758	172.065	252.459	418.216	333.085	190.621	248.75	397.053	234.128	1046.312	398.773	201.519	419.408
257.375	614.629	178.738	198.756	357.986	522.87	425.857	233.664	390.833	444.188	327.96	963.503	435.603	246.524	473.558
179.016	503.52	140.515	99.235	299.087	388.888	331.736	164.397	311.875	362.683	220.502	548.576	328.199	165.278	368.351
128.712	411.77	75	94	192.235	292.343	220.495	133.685	205.298	287.42	147.5	338.151	205.6	170.895	239.55
96.02	295.202	84.634	64.9	125.074	195.668	146.35	92.325	133.48	196.355	136.335	223.956	168.058	116.91	195.736
108.867	378.489	54.776	33.7	116.114	206.521	161.075	83	146.1	197.067	103.67	227.525	139	103.51	168.514
79.63	249.09	33.529	26.6	98.564	211.127	111.17	61.175	109.992	139.748	71.834	159.052	76.132	75.125	107.056
77.794	217.584	29.434	46.65	98.099	191.085	112.74	94.99	120.689	142.673	75.5	153.279	79.957	93.34	115.495
69.094	155.364	21.491	39.09	88.616	144.668	75.93	65.3	105.987	125.599	85.333	86.158	64.347	68.82	92.792
69.051	171.704	25.742	44.63	93.419	228.337	73.735	20.26	114.681	126.422	54.168	90.313	66.221	86.955	88.758
68.383	192.864	23.987	46.435	86.174	170.667	77.465	22.525	90.539	84.363	63.502	111.839	93.8	35.05	112.739
62.505	185.735	26.508	41.485	76.184	177.835	63.975	31.37	73.688	84.363	77.168	89.163	70.929	55.5	91.477
71.809	178.666	33.979	40.94	92.265	169.548	65.01	48.785	86.305	100.338	68.964	97.264	84.998	63.885	103.182
67.934	184.76	32.546	34.755	86.641	166.38	64.42	47.925	68.724	70.116	68.305	95.618	96.974	67.58	122.58
