	start time: 2021-08-10 23:30:18.590482
2021_8_10_23_30,-0.6,-0.03,1.1900000000000002,-4.78,0.7100000000000001,0.000699,0.000601, 795.0059656828533, 0.0024942729353578923
2021_8_10_23_30,-0.5999999850988388,-0.03,1.1900000000000002,-4.78,0.7100000000000001,0.000699,0.000601, 795.0058412119472, 0.002494272848109359
2021_8_10_23_30,-0.6,-0.029999985098838805,1.1900000000000002,-4.78,0.7100000000000001,0.000699,0.000601, 795.0055678103874, 0.002494272658253648
2021_8_10_23_31,-0.6,-0.03,1.1900000149011614,-4.78,0.7100000000000001,0.000699,0.000601, 795.0058936220696, 0.0024942728841534484
2021_8_10_23_31,-0.6,-0.03,1.1900000000000002,-4.779999985098839,0.7100000000000001,0.000699,0.000601, 795.0059655933726, 0.0024942729353578923
2021_8_10_23_31,-0.6,-0.03,1.1900000000000002,-4.78,0.7100000149011613,0.000699,0.000601, 795.0059652304843, 0.0024942729353578923
2021_8_10_23_31,-0.6,-0.03,1.1900000000000002,-4.78,0.7100000000000001,0.0006990149011611938,0.000601, 794.9685602789837, 0.0024942729353578923
2021_8_10_23_31,-0.6,-0.03,1.1900000000000002,-4.78,0.7100000000000001,0.000699,0.0006010149011611938, 794.9608778837843, 0.0024942729353578923

	end time: 2021-08-10 23:31:50.844767
