batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
0,-0.94,0.14,1.43,-3.37,0.56,0.0011,0.0007,1401.06,PS,1,1,0.0,1
1,-6.999,-0.779,0.119,-6.287,4.385,0.05,0.05,1036.496,trust-constr,1,1,0.44,1
1,-1.04,0.04,1.53,-3.27,0.46,0.001,0.001,-322.644,SLSQP,1,1,0.0,1
2,-6.999,-0.81,0.097,-0.002,0.002,0.05,0.05,1022.701,trust-constr,0,1,0.53,1
2,-1.04,0.04,1.53,-3.27,0.46,0.001,0.001,-1001.376,SLSQP,0,1,0.0,1
3,-0.681,-1.297,0.23,-0.44,0.25,0.05,0.05,439.34,trust-constr,1,0,0.5,1
3,-1.04,0.04,1.53,-3.27,0.46,0.001,0.001,-779.045,SLSQP,1,0,0.0,1
4,-3.862,-0.562,0.051,-3.106,2.17,0.05,0.05,537.268,trust-constr,0,0,0.5,1
4,-1.04,0.04,1.53,-3.27,0.46,0.001,0.001,-1459.348,SLSQP,0,0,0.0,1
