batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
0,-0.38,0.05,1.15,-4.47,0.69,0.0004,0.0003,1600.79,PS,1,1,0.0,1
1,-1.153,-0.02,0.855,-3.42,0.634,0.05,0.05,850.824,trust-constr,1,1,0.56,0
1,-0.081,-0.056,1.207,-4.043,0.712,0.001,0.001,1446.828,SLSQP,1,1,0.01,1
2,-0.588,-0.049,0.779,-4.61,0.923,0.05,0.05,850.735,trust-constr,0,1,0.56,0
2,-0.48,-0.05,1.25,-4.37,0.59,0.0,0.0,-2387.496,SLSQP,0,1,0.0,1
3,6.999,-1.652,0.108,-0.002,0.003,0.05,0.05,530.255,trust-constr,1,0,0.41,1
3,0.241,-0.113,1.137,-4.297,0.719,0.002,0.001,946.8,SLSQP,1,0,0.01,1
4,-6.999,-0.495,0.077,-6.991,4.904,0.01,0.021,738.305,trust-constr,0,0,0.56,0
4,-0.106,-0.02,1.121,-3.797,0.62,0.001,0.001,961.663,SLSQP,0,0,0.02,1
