batch,ALP,BET,SIG,ALPH,BETH,SIG1,SIG2,LLK,ALGO,X[99],ln(derive),time (days),finished
0,-0.47,0.08,0.96,-4.39,0.78,0.0009,0.0009,1429.16,PS,1,1,0.0,1
1,-1.036,0.177,1.175,-5.452,0.909,0.001,0.001,1418.013,trust-constr,1,1,0.56,0
1,-0.327,0.055,0.836,-4.758,0.859,0.002,0.001,1380.249,SLSQP,1,1,0.04,1
2,-0.9,0.091,0.797,-4.194,0.831,0.05,0.05,828.202,trust-constr,0,1,0.56,0
2,0.038,-0.044,1.011,-4.936,1.012,0.002,0.001,1371.327,SLSQP,0,1,0.03,1
3,6.998,-1.183,0.038,-6.345,1.077,0.006,0.05,743.054,trust-constr,1,0,0.56,0
3,-0.198,0.016,0.898,-5.467,0.996,0.001,0.002,921.318,SLSQP,1,0,0.03,1
4,-6.838,0.066,0.044,-6.997,4.909,0.05,0.05,642.785,trust-constr,0,0,0.2,1
4,-0.153,0.02,0.834,-5.126,0.96,0.001,0.001,942.844,SLSQP,0,0,0.02,1
