date,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Korea,Malaysia,Mexico,Philippines,Poland,Russia,SAfrica,Thailand,Turkey
2000-01-31,,,,,,,,,,,,,,,
2000-02-29,,,,,,,,,,,,,,,
2000-03-31,,,,,,,,,,,,,,,
2000-04-30,,,,,,,,,,,,,,,
2000-05-31,,,,,,,,,,,,,,,
2000-06-30,,,,,,,,,,,,,,,
2000-07-31,,,,,,,,,,,,,,,
2000-08-31,,,,,,,,,,,,,,,
2000-09-30,,,,,,,,,,,,,,,
2000-10-31,,562.5,,,,362.5,,,,,49.0,902.5,190.0,,470.0
2000-11-30,,697.5,,,,382.5,,,,,42.75,1017.5,200.0,,800.0
2000-12-31,,622.5,,,,382.5,,,,,42.0,1015.0,202.5,,750.0
2001-01-31,,525.5,,,,377.5,,,,,34.5,915.0,202.5,,522.5
2001-02-28,,601.095,,,,345.0,,,,,37.5,907.961,192.5,,856.0
2001-03-31,,570.354,,,,345.0,,,,,37.5,945.155,202.5,,1100.0
2001-04-30,,605.0,,,,350.0,,,,,37.5,915.0,192.5,,895.0
2001-05-31,,510.0,,,,340.0,,,,,37.5,805.0,187.5,,772.5
2001-06-30,,452.5,,,,329.0,,,,,39.0,702.5,182.5,,795.0
2001-07-31,,502.5,,,,330.0,,,,,44.5,815.0,185.0,,1112.5
2001-08-31,,425.0,,,,335.0,,,,,47.0,697.5,185.0,,920.0
2001-09-30,,517.5,,,,352.5,,,,,59.0,812.5,197.5,,982.5
2001-10-31,1100.0,472.5,,,,352.5,,180.0,311.25,,56.833,803.333,195.833,,917.5
2001-11-30,935.0,380.0,,,,360.0,,162.5,266.25,,54.5,640.0,187.5,,735.0
2001-12-31,862.5,310.0,,,,352.5,,162.5,212.5,,54.0,545.0,202.5,,662.5
2002-01-31,850.0,342.5,,,,288.333,,165.0,217.5,,51.667,503.333,200.0,,640.0
2002-02-28,760.0,310.0,,,,287.667,66.25,165.0,194.0,,47.667,418.333,211.0,,650.0
2002-03-29,716.25,316.5,,,,167.667,52.5,147.5,180.0,,46.0,402.333,208.167,,556.333
2002-04-30,847.5,287.5,,,,150.0,47.5,138.75,174.75,320.0,45.667,381.0,173.333,115.0,548.333
2002-05-31,1061.25,262.5,,,,150.0,60.667,131.833,193.5,300.0,54.667,385.0,173.0,125.0,653.333
2002-06-28,2225.0,320.0,,,,164.0,61.0,157.5,290.0,386.5,68.5,482.5,200.0,130.0,1070.0
2002-07-31,3000.0,377.5,,,,184.667,62.5,161.25,375.0,425.0,83.333,591.667,223.333,135.0,1253.333
2002-08-30,2842.5,330.5,,,,195.0,70.0,160.0,348.5,475.0,83.0,582.5,234.167,150.0,1150.0
2002-09-30,3790.0,362.5,,,,202.5,60.0,158.75,392.0,480.0,82.0,596.667,238.333,137.5,1273.333
2002-10-31,3185.0,285.0,,,,170.0,80.0,173.75,335.5,515.0,69.0,463.333,254.667,147.5,945.0
2002-11-29,2832.5,257.5,,,,150.0,64.0,160.0,275.0,527.5,49.0,417.5,204.5,132.5,712.5
2002-12-31,2290.0,250.0,,,,140.0,65.0,157.5,248.0,542.5,57.0,436.667,194.0,132.5,825.0
2003-01-31,1733.333,193.333,160.0,83.5,805.0,122.5,78.333,118.333,271.0,557.5,52.75,387.5,187.25,123.5,853.25
2003-02-28,1550.833,207.667,147.0,85.0,787.5,104.125,108.0,124.667,259.0,582.5,50.375,343.75,168.0,125.25,827.5
2003-03-31,1383.333,236.667,152.5,85.75,710.0,130.5,162.5,139.167,236.667,617.5,62.25,348.75,170.25,130.0,1281.25
2003-04-30,976.667,225.0,120.25,36.75,515.0,105.0,99.875,105.625,163.333,498.333,54.125,296.25,153.5,77.5,916.25
2003-05-30,945.0,209.333,116.5,33.75,545.0,108.5,85.875,94.75,171.5,456.667,48.5,262.5,135.0,68.667,880.0
2003-06-30,885.833,207.5,115.0,32.5,502.5,99.167,92.167,92.667,179.0,455.0,49.667,259.5,145.25,61.375,913.125
2003-07-31,866.667,187.5,107.5,26.167,492.5,101.333,89.0,85.333,159.0,440.0,42.0,258.833,138.75,54.5,785.0
2003-08-29,770.848,188.0,95.798,24.333,474.187,110.833,72.8,65.875,162.5,418.125,40.0,240.0,138.375,42.875,701.25
2003-09-30,765.005,186.875,84.85,24.333,519.287,109.5,68.6,55.625,139.5,416.25,40.0,242.667,131.0,38.5,616.0
2003-10-31,634.707,161.497,66.377,23.333,479.245,105.333,68.833,48.25,139.333,428.167,44.333,227.584,117.5,30.667,448.122
2003-11-28,505.815,150.158,58.398,26.167,476.727,101.5,70.4,44.5,123.0,500.833,41.333,227.252,102.5,29.75,402.437
2003-12-31,403.92,127.75,53.6,29.0,441.196,102.25,48.5,36.0,122.167,437.5,42.375,201.25,105.5,29.0,322.5
2004-01-30,492.894,120.0,49.94,31.167,451.81,95.0,60.5,41.375,117.667,455.833,35.75,189.125,110.0,37.25,347.5
2004-02-27,601.193,128.5,49.944,33.0,476.834,96.75,53.167,42.667,110.667,506.833,36.0,200.333,113.333,42.333,383.375
2004-03-31,573.424,112.0,43.947,35.25,384.66,98.75,52.917,42.875,109.25,516.0,31.0,189.75,105.75,39.75,358.75
2004-04-30,742.284,124.333,46.621,41.0,490.833,87.5,64.417,49.417,142.764,484.375,27.833,245.2,112.875,43.25,445.75
2004-05-31,805.419,142.25,53.609,39.833,551.993,98.0,61.0,50.875,154.5,512.5,35.25,260.25,130.75,45.25,593.625
2004-06-30,706.941,91.333,49.919,37.375,494.395,77.5,54.375,46.833,146.345,490.5,26.0,245.75,120.0,44.167,546.667
2004-07-30,610.833,68.125,45.947,33.417,460.845,61.167,49.65,40.4,130.167,464.375,21.125,249.5,118.5,40.75,448.833
2004-08-31,486.0,61.875,42.25,30.2,447.5,51.625,38.85,35.688,103.25,437.0,17.5,221.333,99.25,35.125,358.0
2004-09-30,443.125,54.833,29.25,32.25,426.333,48.375,39.0,35.5,104.25,457.875,18.125,221.5,92.875,36.5,348.125
2004-10-29,436.0,50.5,30.25,28.375,390.667,47.667,32.0,31.8,99.625,504.625,17.75,177.5,76.5,33.625,337.5
2004-11-30,363.6,40.083,27.5,23.5,318.75,40.5,30.0,26.2,93.6,509.25,16.375,158.893,57.375,32.0,286.417
2004-12-31,304.5,32.0,23.167,26.5,341.0,35.0,32.0,25.75,79.833,482.1,15.0,139.0,56.833,33.5,232.214
2005-01-31,362.333,31.1,22.833,25.45,329.875,31.167,32.15,24.8,86.0,413.125,15.417,134.429,65.25,31.438,254.5
2005-02-28,318.875,27.7,22.25,23.643,309.333,30.3,30.938,24.313,77.75,357.714,13.083,117.167,60.333,27.714,204.875
2005-03-31,433.2,40.3,24.25,28.813,412.125,43.2,39.857,35.0,104.9,412.357,13.917,145.214,83.0,34.75,304.4
2005-04-29,413.167,50.4,23.667,28.143,403.375,55.4,35.357,29.25,115.333,424.357,16.3,127.333,74.333,34.357,374.125
2005-05-31,336.848,48.4,23.875,29.75,310.236,56.6,39.786,29.929,93.043,374.5,17.3,107.417,64.625,34.286,300.625
2005-06-30,325.981,42.25,23.875,29.468,291.366,52.5,38.75,30.333,92.947,399.875,16.833,100.0,59.75,34.0,261.05
2005-07-29,329.823,37.125,22.875,26.286,272.279,48.667,35.286,27.786,83.508,413.667,16.5,82.5,54.333,34.667,246.75
2005-08-31,339.61,38.688,21.188,26.214,255.617,47.2,37.417,29.0,78.778,402.7,16.1,76.625,50.85,40.083,264.5
2005-09-30,244.257,27.4,20.563,24.048,189.479,36.5,29.929,26.286,66.25,342.214,13.5,54.417,42.5,37.0,209.81
2005-10-31,277.793,38.95,22.417,22.417,223.366,40.688,29.831,28.25,73.315,347.857,15.333,71.2,53.376,38.574,198.8
2005-11-30,252.4,36.25,20.5,19.208,178.918,38.75,23.964,27.125,59.745,279.5,16.625,66.857,47.417,37.643,167.357
2005-12-30,225.071,33.5,19.625,19.125,167.0,38.167,25.083,26.25,62.694,268.625,15.5,67.667,40.625,38.875,155.5
2006-01-31,177.012,36.375,20.625,17.25,148.024,37.35,22.083,23.0,60.604,231.375,16.75,62.7,40.001,31.625,156.75
2006-02-28,112.987,32.1,19.25,18.0,97.166,34.75,23.042,24.0,48.529,192.5,16.667,46.9,33.667,36.083,122.938
2006-03-31,147.634,32.6,19.1,21.0,136.962,35.958,23.917,28.286,68.568,190.1,21.0,57.5,42.55,43.0,146.125
2006-04-28,124.322,31.5,19.875,20.571,125.994,34.9,22.667,26.563,63.821,179.5,21.0,49.917,47.452,37.333,135.833
2006-05-31,190.417,36.833,21.8,22.0,179.088,36.417,24.063,29.563,86.996,205.643,22.75,70.25,56.625,39.5,220.5
2006-06-30,171.794,44.3,20.75,24.607,176.149,44.7,25.313,33.214,80.416,234.688,27.333,68.75,77.001,42.813,294.131
2006-07-31,138.263,32.643,20.5,21.4,142.807,36.333,23.833,28.0,57.927,187.286,20.5,53.071,56.168,38.25,220.25
2006-08-31,123.25,32.3,21.5,21.2,130.0,35.5,25.0,27.7,49.0,178.0,18.5,50.208,54.002,36.875,195.875
2006-09-29,134.438,30.958,22.2,20.071,145.063,36.55,23.625,26.156,56.688,171.0,18.2,57.571,63.15,43.417,217.946
2006-10-31,113.478,20.526,21.688,17.667,126.797,24.143,27.0,24.0,45.768,139.933,14.626,51.125,49.0,36.5,183.063
2006-11-30,110.05,20.296,21.0,14.5,124.867,21.917,21.083,19.042,46.75,130.417,13.501,50.944,50.5,30.3,183.501
2006-12-29,99.5,17.083,18.5,12.5,114.25,20.083,17.625,17.25,40.5,122.375,13.127,43.9,42.333,26.833,160.875
2007-01-31,98.214,18.85,17.003,11.0,113.8,19.625,18.9,18.133,42.94,121.328,13.333,45.208,37.25,35.989,164.185
2007-02-28,94.979,19.356,16.795,11.143,112.25,18.938,17.643,18.0,43.9,123.097,14.001,48.77,38.5,41.108,178.535
2007-03-30,83.299,17.863,15.307,10.958,95.677,18.75,17.179,17.055,41.258,120.476,12.334,47.915,36.48,41.514,174.75
2007-04-30,71.286,14.54,14.3,10.125,86.46,16.814,14.283,13.0,33.56,108.1,8.168,41.0,30.74,37.35,165.218
2007-05-31,62.157,13.417,13.234,12.875,77.4,15.9,16.063,14.257,28.438,100.643,8.126,38.733,25.064,37.929,146.825
2007-06-29,75.833,13.81,13.168,12.417,83.713,15.376,16.844,16.225,35.599,110.675,8.667,43.24,28.56,38.314,145.752
2007-07-31,130.275,26.56,19.5,26.208,157.713,26.626,31.82,36.16,58.738,206.3,13.752,76.088,63.34,59.15,203.125
2007-08-31,103.365,29.08,20.36,27.167,143.533,32.336,33.448,37.365,60.663,180.799,14.336,83.837,58.446,62.234,199.93
2007-09-28,85.099,29.505,18.168,19.833,115.089,30.001,22.998,24.498,48.901,143.056,14.336,70.965,49.599,43.099,164.214
2007-10-31,81.33,30.8,19.201,19.5,116.731,31.002,24.49,23.927,47.231,132.401,11.834,69.467,38.668,41.99,160.528
2007-11-30,98.406,70.234,35.503,22.167,135.505,63.834,39.889,45.432,68.244,159.635,24.668,94.904,63.066,62.472,180.094
2007-12-31,103.0,72.001,31.708,28.75,130.0,65.836,45.328,41.993,69.498,153.335,23.503,88.17,72.907,54.833,167.339
2008-01-31,135.687,119.328,65.0,55.896,181.66,92.835,76.099,72.333,110.0,209.795,47.501,109.96,157.569,89.637,206.606
2008-02-29,152.375,163.279,60.515,64.127,194.075,108.001,84.201,82.96,122.505,241.726,64.835,134.269,200.904,102.087,248.594
2008-03-31,177.665,179.899,74.929,81.0,217.731,132.667,96.597,98.5,130.099,240.422,74.169,148.34,207.432,110.432,309.507
2008-04-30,108.3,124.899,56.812,43.825,153.229,80.169,64.325,65.627,84.0,195.099,36.502,101.505,135.569,69.797,238.94
2008-05-30,85.165,125.266,46.005,49.833,115.439,74.669,75.407,77.244,76.163,223.208,39.337,85.35,160.066,80.039,242.769
2008-06-30,120.571,159.167,58.49,73.594,161.896,94.502,103.952,111.914,115.399,261.647,50.503,107.731,190.703,132.254,309.168
2008-07-31,117.859,158.434,60.875,55.302,145.566,82.335,86.696,97.759,105.766,222.495,51.336,98.863,159.267,105.888,257.749
2008-08-29,130.302,185.533,62.17,65.168,159.934,90.835,115.665,127.505,118.437,242.769,67.669,132.804,173.317,135.0,265.101
2008-09-30,179.3,224.901,113.35,87.094,206.444,138.335,174.909,168.325,144.32,286.383,73.668,261.491,210.683,169.934,297.085
2008-10-31,333.07,417.236,217.63,164.439,333.375,308.334,380.887,235.0,315.934,482.575,185.167,656.716,386.608,233.325,497.613
2008-11-28,324.82,500.335,220.295,166.914,330.49,412.503,368.614,268.911,316.985,417.657,221.002,708.303,407.512,296.65,419.018
2008-12-31,300.51,514.039,203.167,201.197,309.175,441.167,332.971,230.058,292.604,386.213,256.002,741.155,393.556,255.264,408.688
2009-01-30,344.95,494.275,228.925,218.544,369.85,415.38,328.865,231.32,356.033,379.925,276.667,724.062,422.684,242.587,428.235
2009-02-27,400.577,597.39,266.555,248.338,473.22,527.368,432.475,296.389,462.096,446.65,366.0,761.109,459.934,298.337,487.393
2009-03-31,325.257,492.046,214.893,160.464,400.441,391.502,332.584,240.85,380.4,378.3,286.002,501.118,363.255,237.839,401.628
