XLAM,CDS1Y,CDS1X,CDS1XP,CDS3,CDS3X,CDS3XP,CDS5,CDS5X,CDS5XP
0.004463817079272117,0.00375,0.004545043588516166,0.003962320764144549,0.00675,0.00675,0.004409838598827737,0.0085,0.00875790348888886,0.004532007586853179
0.004518905751301062,0.00375,0.004598445395795922,0.004002933370799346,0.006825,0.006825,0.004445046698204084,0.008575,0.008853533051564517,0.004561646447021779
0.0014501648482408052,0.0019,0.0015603815104437472,0.0015629046150758509,0.0026,0.0026,0.002199184281183518,0.003675,0.0037847812766104065,0.002623397464831431
0.0013852313730595741,0.0019,0.001493791310363836,0.0015050397639879305,0.0025,0.0025,0.002139241686618463,0.003375,0.00365391525529432,0.002567764844560034
0.0012549910359450423,0.00155,0.0013598625060766575,0.001387647101532582,0.0023,0.0023,0.002017529877525088,0.00325,0.003406414065133586,0.0024603425596417517
0.0009228006344128597,0.001225,0.0010147233468892646,0.001077922309846231,0.0017649999999999999,0.0017649999999999999,0.001679226000729752,0.0026167,0.002690055177938853,0.0021398014190283136
0.0009514597540493399,0.001125,0.0010446065155024678,0.0011051878046388945,0.0018074999999999999,0.0018075,0.001706601097114669,0.0024333000000000002,0.0027336995307886956,0.002159032005022733
0.0008789781718950545,0.001225,0.0009686240007329567,0.0010355849036034184,0.0016867000000000002,0.0016867000000000002,0.0016272600053652813,0.0024333000000000002,0.0025696638406311817,0.0020822936114541016
0.000709226120550533,0.0008,0.0007895414434001874,0.0008687118010218347,0.0014033,0.0014033,0.0014362485031760553,0.0023333000000000004,0.0021869810289072977,0.001900311649032491
0.0009731169666386173,0.001,0.0010672262475046144,0.0011257857511663104,0.0018427,0.0018427,0.0017294340037382443,0.0026167,0.0027833037569478013,0.002181820145353307
0.0010402065850032014,0.000925,0.0011371253064559772,0.0011890706842347682,0.00195,0.00195,0.0017983495212819574,0.0029,0.002926757420014065,0.002247085623715346
0.0010910054811699619,0.001129,0.0011900369562153439,0.0012366687506210029,0.0020333,0.0020333,0.0018514210841346157,0.0031166999999999996,0.003037874794339998,0.0022975359821331034
0.0012820476987338023,0.0010689999999999999,0.0013875985669185241,0.0014120677067569149,0.0023357,0.0023357,0.0020395442472519827,0.0033,0.0034364369233539035,0.0024738136682089405
0.0013219737377566888,0.00135,0.0014287727484233574,0.0014482375628708688,0.0024,0.0024,0.0020787877099713104,0.003525,0.0035224054742117278,0.0025111954499946083
0.0017562669245881235,0.0016387,0.0018722373577435545,0.0018300894047036166,0.0030612,0.0030612,0.0024694260884233423,0.0041,0.0043721295015740815,0.0028683167008171947
0.001632218533715422,0.00155,0.001745860989904563,0.0017225333396792238,0.0028667,0.0028667,0.0023573231869777386,0.0039832999999999995,0.004111481727476511,0.002762150807746014
0.0015479332187396308,0.001615,0.0016597421057615905,0.00164870877379278,0.0027378,0.0027378,0.0022816291081032545,0.0037375,0.003944323895132725,0.0026921719126484184
0.0011875745945475068,0.0011337,0.0012895699557899734,0.0013253944907302647,0.0021812,0.0021812,0.001943995851884771,0.0033417,0.0032277272196125774,0.002381717906227268
0.0008890025094628489,0.00085,0.0009787702486337214,0.001044846016785812,0.0017,0.0016999999999999997,0.0016356291180064473,0.00302,0.0025885223591944526,0.00209033126608551
0.0011132967434595315,0.0011,0.00121277713923779,0.0012569671359034217,0.0020667,0.0020667,0.0018722781741496793,0.003225,0.0030853884042742878,0.0023183204833594692
0.0010515378072754652,0.0009,0.0011485105374876366,0.0011992669288859443,0.0019667,0.0019667,0.0018087868021043488,0.0028375,0.0029541046402796556,0.0022590349605883615
0.0008726098192733949,0.00085,0.0009615479615171025,0.0010289831484615606,0.001675,0.001675,0.0016192358541735142,0.00235,0.0025612859900074948,0.0020781158229282596
0.0009096434249042679,0.001,0.001000231474843842,0.0010645012619826335,0.0017333,0.0017333,0.0016574289313303406,0.00265,0.0026364410616432016,0.0021125789441920773
0.0009653687405203854,0.001,0.0010584520052477403,0.0011176853504386072,0.001825,0.001825,0.0017173847903655674,0.002545,0.0027632432097814603,0.002171502045020268
0.0009088757024447709,0.00095,0.000999277676284641,0.0010635960596475117,0.0017312999999999999,0.0017312999999999999,0.0016559768902500661,0.0023643,0.002636673206713535,0.0021125403088634686
0.0010653033400603185,0.0012,0.0011623388927743798,0.00121163245077667,0.0019833,0.0019833,0.0018190033207597246,0.0028813000000000003,0.0029715551125029127,0.0022661060388429926
0.0011592651161057607,0.0012125,0.0012596582429684744,0.0012987197888739144,0.0021313,0.0021313,0.0019125159614380223,0.0028143,0.003165570007964251,0.0023531948215929866
0.001185722676989567,0.0012667,0.0012870536076107768,0.001323093028368767,0.002175,0.002175,0.0019398585301731834,0.002975,0.003228250992834013,0.002381069857349248
0.0011981032936242166,0.0012625,0.0012998650688497812,0.001334458862986508,0.0021952,0.0021952,0.0019524348407664613,0.0029468000000000003,0.0032569439779040203,0.002393711705896159
0.0009923054089484582,0.0010333,0.0010862643356501403,0.0011428936991423227,0.0018664999999999999,0.0018664999999999999,0.0017439981846928397,0.0026285999999999996,0.0028217805534112334,0.002197846372277849
0.0009861409611975284,0.00095,0.0010796643749933885,0.0011368708673692857,0.0018541,0.0018541,0.0017358033021779107,0.0026214000000000003,0.002799871292363223,0.0021873814365961017
0.0008783135992766948,0.00085,0.0009669282928887887,0.0010338055411716778,0.0016792000000000003,0.0016792000000000003,0.0016213074864039176,0.0024048000000000003,0.00256660829932028,0.002079288012538213
